timestamp,fruit_id,scan_no,nm410,nm435,nm460,nm485,nm510,nm535,nm560,nm585,nm610,nm645,nm680,nm705,nm730,nm760,nm810,nm860,nm900,nm940,label,diameter_cm,rotasi_buah,jarak_cm,ratio_810_680,ratio_730_680,ratio_860_810,red_edge_slope,ndvi_like
"2026-08-28T17:54:59,083",BOSOK_008,59,5.806025,13.056184,60.335827,0.0,15.193548,11.837794,10.299997,11.551591,16.182184,8.413953,22.290184,11.677847,26.605232,28.746899,35.878597,38.237984,15.287484,13.503983,anomali,8.5,c,3,1.6096134919238478,1.193584587016156,1.0657599945282155,0.08630096000000002,0.23360315327853384
"2026-08-28T17:55:08,516",BOSOK_008,60,6.635457,14.921353,56.56004838,43.87048,18.087557,14.623158,9.784998,11.049348,15.026314,9.255348,25.329754,10.426649,27.387739,28.746899,33.486691,35.920532,14.064486,12.603717,anomali,8.5,d,3,1.322029332764411,1.081247302580474,1.072680524725323,0.04115969999999997,0.1386846079043696
"2026-08-28T17:55:19,853",BOSOK_008,61,5.806025,14.921353,62.221321,0.0,16.640553,15.319499,11.329997,11.551591,17.338055,8.834651,22.290184,10.843715,25.040218,26.210407,31.892088,32.444351,12.841487,11.703452,anomali,9.0,e,3,1.4307676281328015,1.123373713122461,1.0173162957168889,0.05500067999999999,0.17721483196296534
"2026-08-28T17:55:29,268",BOSOK_008,62,6.635457,19.584276,42.4200363,0.0,11.576036,9.052431,10.299997,11.049348,15.026314,8.413953,13.171472,10.009583,20.345177,22.828419,30.297483,32.444351,13.452986,11.703452,anomali,9.0,f,3,2.300233413369885,1.5446384089504888,1.070859262183838,0.1434741,0.3939824884259378
"2026-08-28T17:55:38,017",BOSOK_008,63,9.123753,24.2472,45.251869,0.0,14.470046,13.230476,6.694998,8.03589,12.714574,7.572558,20.263803,7.924253,24.257711,27.055904,28.702879,31.285624,12.229987,12.603717,anomali,9.5,g,3,1.4164599229177648,1.197095087681672,1.0899817088098693,0.07987816000000002,0.17234319198037718
"2026-08-28T17:55:50,765",BOSOK_008,64,7.464889,19.584276,45.25001869,0.0,13.746543,11.141454,6.694998,8.538133,11.558703,7.993256,13.171472,7.924253,24.257711,26.210407,31.094786,33.603077,12.841487,11.703452,anomali,9.0,h,3,2.360765933552504,1.8416842539055212,1.0806656200606686,0.22172478,0.40489778808550103
"2026-08-28T17:57:53,590",BOSOK_009,65,9.953185,22.38203,52.79385,0.0,18.81106,16.712181,15.449996,18.582994,18.493925,10.517442,21.276993,14.597308,36.777821,39.738361,53.419247,49.825253,23.236977,20.706106,anomali,9.5,a,3,2.510656552522928,1.7285245013125206,0.9327208163902391,0.31001656000000005,0.43030612647890615
"2026-08-28T17:58:15,536",BOSOK_009,66,28.200691,28.910122,56.50064838,0.0,20.981565,18.104862,11.844997,14.56505,17.338055,15.986511,20.263803,11.677847,34.430302,37.20187,44.648922,41.714165,18.95648,22.506638,anomali,6.5,b,3,2.2033820584506976,1.6991028292651535,0.9342701635058146,0.28332998,0.3756600149415981
"2026-08-28T17:58:23,580",BOSOK_009,67,13.270913,29.842707,53.736595,0.0,18.81106,17.408522,12.874997,14.062807,17.338055,8.834651,15.197852,12.094913,36.777821,39.738361,48.635433,45.190346,18.95648,18.00531,anomali,9.0,c,3,3.200149665788517,2.4199338696456123,0.9291648890707133,0.4315993800000001,0.5238266487731834
"2026-08-28T17:58:32,799",BOSOK_009,68,19.90637,42.898891,64.10006819,0.0,21.705069,18.801203,11.329997,12.556078,17.338055,7.993256,15.197852,11.26078,38.342834,40.583858,47.040829,44.03162,18.34498,18.00531,anomali,8.5,d,3,3.0952267496572876,2.5229097355930725,0.9360296486208504,0.4628996400000001,0.5116267146428257
